id,usuario,setor,descricao
1,joao.silva,Sistemas,O sistema esta muito lento para carregar a pagina inicial
2,maria.oliveira,Hardware,A impressora nao esta ligando e o cabo parece solto
3,carlos.souza,Sistemas,Esqueci minha senha e nao consigo entrar no sistema de vendas
4,ana.costa,Hardware,O mouse parou de funcionar e o teclado esta travando
5,bruno.lima,Sistemas,Erro ao tentar emitir nota fiscal o sistema trava no final
6,carla.ferreira,Hardware,Monitor com a tela piscando e as cores estao estranhas
7,diego.melo,Sistemas,O sistema de email nao envia anexos grandes
8,fernanda.rocha,Hardware,Meu notebook esta esquentando muito e desliga sozinho
9,gabriel.santos,Sistemas,Site da empresa apresentando erro de conexao com o banco
10,helena.lima,Hardware,Troca de toner necessaria para a impressora do RH
